stock_code,stock_name,date,open,close,high,low,volume,amount
002385,大北农,2026-05-27,3.38,3.32,3.4,3.27,89063745,0
002385,大北农,2026-05-28,3.32,3.32,3.35,3.29,53371015,0
002385,大北农,2026-05-29,3.32,3.35,3.38,3.29,64973522,0
002385,大北农,2026-06-01,3.33,3.4,3.41,3.33,50509499,0
002385,大北农,2026-06-02,3.41,3.35,3.42,3.33,54297981,0
002385,大北农,2026-06-03,3.36,3.32,3.37,3.31,42155728,0
002385,大北农,2026-06-04,3.3,3.3,3.35,3.27,42695000,0
002385,大北农,2026-06-05,3.29,3.25,3.31,3.22,56867941,0
002385,大北农,2026-06-08,3.21,3.2,3.26,3.15,69047915,0
002385,大北农,2026-06-09,3.19,3.19,3.21,3.13,56456695,0
002385,大北农,2026-06-10,3.18,3.2,3.21,3.15,56319548,0
002385,大北农,2026-06-11,3.18,3.13,3.21,3.11,72323710,0
002385,大北农,2026-06-12,3.13,3.01,3.13,3.0,214813228,0
002385,大北农,2026-06-15,3.03,3.01,3.07,2.97,111233706,0
002385,大北农,2026-06-16,3.01,2.98,3.01,2.93,87852158,0
002385,大北农,2026-06-17,2.99,2.95,3.0,2.93,64621483,0
000998,隆平高科,2026-05-07,9.15,9.12,9.15,9.09,16980397,0
000998,隆平高科,2026-05-08,9.11,9.15,9.18,9.1,15105862,0
000998,隆平高科,2026-05-11,9.2,9.25,9.27,9.17,21187983,0
000998,隆平高科,2026-05-12,9.26,9.15,9.27,9.13,14932072,0
000998,隆平高科,2026-05-13,9.19,9.17,9.21,9.15,11041442,0
000998,隆平高科,2026-05-14,9.19,9.11,9.2,9.08,17421067,0
000998,隆平高科,2026-05-15,9.08,8.96,9.1,8.88,26544387,0
000998,隆平高科,2026-05-18,8.96,8.73,8.96,8.7,20933489,0
000998,隆平高科,2026-05-19,8.69,8.75,8.75,8.68,9447880,0
000998,隆平高科,2026-05-20,8.73,8.59,8.74,8.58,12082348,0
000998,隆平高科,2026-05-21,8.61,8.42,8.67,8.41,13565988,0
000998,隆平高科,2026-05-22,8.4,8.44,8.45,8.25,13003694,0
000998,隆平高科,2026-05-25,8.44,8.4,8.52,8.35,10558908,0
000998,隆平高科,2026-05-26,8.41,8.42,8.47,8.33,10212267,0
000998,隆平高科,2026-05-27,8.42,8.69,8.8,8.25,24804299,0
000998,隆平高科,2026-05-28,8.6,8.48,8.67,8.45,14668854,0
000998,隆平高科,2026-05-29,8.46,8.49,8.54,8.39,11590916,0
000998,隆平高科,2026-06-01,8.48,8.68,8.72,8.48,16769361,0
000998,隆平高科,2026-06-02,8.66,8.62,8.68,8.54,10463800,0
000998,隆平高科,2026-06-03,8.76,8.56,8.78,8.5,14099586,0
000998,隆平高科,2026-06-04,8.52,8.39,8.63,8.37,12338899,0
000998,隆平高科,2026-06-05,8.38,8.38,8.45,8.33,10129756,0
000998,隆平高科,2026-06-08,8.28,8.21,8.45,8.02,17877535,0
000998,隆平高科,2026-06-09,8.17,8.09,8.2,8.02,11718861,0
000998,隆平高科,2026-06-10,8.04,8.09,8.15,8.02,8928844,0
000998,隆平高科,2026-06-11,8.08,8.13,8.21,8.04,8743406,0
000998,隆平高科,2026-06-12,8.1,8.5,8.5,8.01,21603785,0
000998,隆平高科,2026-06-15,8.42,8.38,8.51,8.34,16442500,0
000998,隆平高科,2026-06-16,8.34,8.16,8.38,8.14,13542618,0
000998,隆平高科,2026-06-17,8.15,8.11,8.17,8.08,8765829,0
600598,北大荒,2026-05-07,16.77,16.61,16.87,16.58,23504273,0
600598,北大荒,2026-05-08,16.65,16.81,16.89,16.63,20110810,0
600598,北大荒,2026-05-11,16.79,16.78,17.1,16.75,23109305,0
600598,北大荒,2026-05-12,16.8,16.76,17.0,16.66,22671975,0
600598,北大荒,2026-05-13,16.77,16.83,16.95,16.68,18963185,0
600598,北大荒,2026-05-14,16.86,16.54,16.88,16.53,20087317,0
600598,北大荒,2026-05-15,16.55,15.89,16.55,15.79,32746360,0
600598,北大荒,2026-05-18,15.85,15.54,15.95,15.4,26389608,0
600598,北大荒,2026-05-19,15.58,15.74,15.77,15.5,18060711,0
600598,北大荒,2026-05-20,15.65,15.76,15.82,15.57,15702258,0
600598,北大荒,2026-05-21,15.76,15.31,15.92,15.26,27943380,0
600598,北大荒,2026-05-22,15.32,15.15,15.39,15.07,21645000,0
600598,北大荒,2026-05-25,15.1,15.09,15.15,14.91,19354278,0
600598,北大荒,2026-05-26,14.65,14.47,14.65,14.35,18373169,0
600598,北大荒,2026-05-27,14.5,14.41,14.65,14.36,17197395,0
600598,北大荒,2026-05-28,14.38,14.19,14.43,14.07,18029386,0
600598,北大荒,2026-05-29,14.15,14.25,14.39,14.04,18578125,0
600598,北大荒,2026-06-01,14.2,14.61,14.65,14.16,22218533,0
600598,北大荒,2026-06-02,14.62,14.49,14.62,14.39,16765915,0
600598,北大荒,2026-06-03,14.55,14.5,14.56,14.32,16381698,0
600598,北大荒,2026-06-04,14.44,14.34,14.65,14.24,16724588,0
600598,北大荒,2026-06-05,14.26,14.33,14.47,14.24,16088245,0
600598,北大荒,2026-06-08,14.22,14.13,14.4,14.01,17952870,0
600598,北大荒,2026-06-09,14.12,13.96,14.19,13.84,17202119,0
